INDEX,LN_Count,LN_Total,LN_CD4#,LN_CD8#,LN_gd T cells#,LN_T reg#,LN_CD8 CD44 CD62Llo#,LN_CD4 CD44 CD62Llo#,LN_CD8 CD25+#,LN_CD8 CD27+#,LN_CD8 CD38+#,LN_CD8 CD69+#,LN_CD8 KLRG1+#,LN_CD8 PD-1+#,LN_B cells#,LN_GC cells#,LN_IgD- #,LN_Plasma cells#,LN_NK cells#,LN_CD107+NK#,LN_CD45#,LN_CD64-F4/80- #,LN_neutrophils#,LN_DC#,LN_mac#,SPLEEN_Count,SPLEEN_Total,SPLEEN_CD4#,SPLEEN_CD8#,SPLEEN_gd T cells#,SPLEEN_T reg#,SPLEEN_CD8 CD44 CD62Llo#,SPLEEN_CD4 CD44 CD62Llo#,SPLEEN_CD8 CD25+#,SPLEEN_CD8 CD27+#,SPLEEN_CD8 CD38+#,SPLEEN_CD8 CD69+#,SPLEEN_CD8 KLRG1+#,SPLEEN_CD8 PD-1+#,SPLEEN_B cells#,SPLEEN_GC cells#,SPLEEN_IgD- #,SPLEEN_Plasma cells#,SPLEEN_NK cells#,SPLEEN_CD107+NK#,SPLEEN_CD45#,SPLEEN_CD64-F4/80- #,SPLEEN_neutrophils#,SPLEEN_DC#,SPLEEN_mac#,CYTOKINE_IFN-γ,CYTOKINE_IL-10,CYTOKINE_CCL4 (MIP-1β),CYTOKINE_IFN-α,CYTOKINE_CXCL9,CYTOKINE_CXCL10,CYTOKINE_TNF-α,CYTOKINE_IL-6,CYTOKINE_VEGF,CYTOKINE_IL-4,CYTOKINE_CCL3 (MIP-1α),CYTOKINE_CCL2 (MCP-1),CYTOKINE_GM-CSF
BALBc_H_14,38,570000,308370,159600,7524,10392.069,6894.72,32070.48,766.08,143640,1532.16,5298.72,140288.4,1404.48,161310,4339.239,410970,698.649,495.9,50.5818,568290,566016.84,232.0669044,2045.844,539.8755,146,43800000,23695800,12264000,578160,798548.46,654897.6,2464363.2,40471.2,11037600,35565.6,299241.6,10424400,94432.8,12395400,26030.34,31579800,53685.66,38106,3886.812,40164600,36750609,1730953.684,590419.62,1939950.18,0.09,0,0,118.687,0,0,0,1.99,0,1.42,0,6.12,0
BALBc_H_14,24,360000,181080,97200,4680,8673.732,4607.28,18053.676,534.6,88257.6,2400.84,4986.36,87382.8,1739.88,93600,4296.24,275760,744.552,396,66.132,359640,358561.08,107.568324,1726.272,215.784,94,28200000,14184600,7614000,366600,679442.34,421054.2,1414204.62,28171.8,6913512,99743.4,287809.2,6647022,127153.8,7332000,32260.8,21601200,58323.24,31020,5180.34,24900600,23306961.6,258707.2738,512952.36,1070725.8,0.7,0,18.55,0,0,0,0,4.11,0,0.78,0,57.11,22.83
BALBc_H_14,9,135000,62910,41715,2403,2994.516,1689.4575,9939.78,258.633,38669.805,337.8915,1943.919,37001.205,508.923,35505,1785.9015,103680,155.52,202.5,56.0925,134460,133922.16,26.784432,645.408,201.69,37,11100000,5172600,3429900,197580,246215.76,166007.16,817270.8,14405.58,3179517.3,6173.82,123819.39,2939424.3,38071.89,2919300,13136.85,8524800,12787.2,16650,4612.05,10278600,9620769.6,61572.92544,198376.98,386475.36,0.09,0,3.85,0,39.21,344.51,0,3.51,8.59,1.42,0,86.03,0
BALBc_H_14,8,120000,67200,29400,1800,3554.88,761.46,6175.68,88.2,26489.4,320.46,923.16,27606.6,244.02,25320,1633.14,96000,172.8,288,62.496,119880,119520.36,15.5376468,539.46,89.91,27,8100000,4536000,1984500,121500,239954.4,27187.65,416858.4,4167.45,1788034.5,6548.85,48223.35,1837647,14883.75,1709100,9229.14,6480000,11664,19440,4218.48,7832700,7315741.8,28531.39302,204433.47,296076.06,1.7,0,0,0,72.05,427.47,0,2.96,0.95,1.42,68,32.83,0
BALBc_L_14,25,375000,181500,83625,4987.5,8494.2,2617.4625,17623.65,376.3125,71583,1154.025,2901.7875,75346.125,760.9875,81375,3946.6875,301500,693.45,637.5,134.5125,374625,372002.625,17.93052653,2247.75,674.325,164,49200000,23812800,10971600,654360,1114439.04,465195.84,2312222.88,34011.96,9391689.6,50469.36,285261.6,9622093.2,88869.96,10676400,41637.96,39556800,90980.64,83640,17648.04,39802800,37812660,143688.108,764213.76,1062734.76,0.09,166.34,0,61.574,3.98,0,0.131,0,0,1.08,47.4,14.43,116.64
BALBc_L_14,7,105000,51765,32340,1680,3266.3715,1167.474,4161.906,181.104,29785.14,297.528,1161.006,30787.68,232.848,29400,2216.76,80220,184.506,136.5,40.2675,104790,104370.84,4.164396516,523.95,115.269,133,39900000,19670700,12289200,638400,1241221.17,247012.92,1581524.28,31951.92,11318353.2,38096.52,309687.84,11601004.8,78650.88,11172000,60328.8,30483600,70112.28,51870,15301.65,30882600,29060526.6,72651.3165,543533.76,929566.26,0.44,0,0,0,0,427.47,0,2.96,12.84,1.79,47.4,6.12,0
BALBc_L_14,26,390000,205920,99840,5304,11037.312,2915.328,16329.456,559.104,90055.68,2126.592,3115.008,93849.6,938.496,83850,3219.84,311220,871.416,780,145.08,389610,388441.17,19.92703202,2922.075,428.571,85,25500000,13464000,6528000,346800,721670.4,105753.6,1067695.2,20236.8,5888256,30028.8,156019.2,6051456,52876.8,5482500,20285.25,20349000,56977.2,51000,9486,23001000,21275925,76593.33,480720.9,1064946.3,1,0,0,139.227,0,0,0,0,4.61,0.41,2.12,57.11,0
BALBc_H_17,20,300000,174000,75600,3690,8491.2,2419.2,14424.6,627.48,69400.8,1217.16,1912.68,58514.4,1617.84,101700,447.48,203700,468.51,204,23.256,300000,294600,16.58598,1290,144,117,35100000,20358000,8845200,431730,993470.4,451989.72,2076516,38918.88,8119893.6,142407.72,223783.56,6846184.8,189287.28,11898900,52355.16,23832900,54815.67,23868,2720.952,35100000,34468200,1940.55966,150930,16848,1.7,376,0,15.646,13.11,344.51,0,1.99,0.95,0.78,0,0,0
BALBc_H_17,40,600000,344400,160800,4740,18425.4,2765.76,21525,755.76,155172,2717.52,3103.44,128479.2,1559.76,154800,1284.84,463800,556.56,456,85.728,600000,594600,30.3246,2820,168,83,24900000,14292600,6673200,196710,764654.1,268262.64,1054793.88,16683,6439638,112777.08,128792.76,5331886.8,64730.04,6424200,53320.86,19247700,23097.24,18924,3557.712,24900000,24675900,1258.4709,117030,6972,1,376,0,61.574,39.21,427.47,0,0,0,0.52,13.27,384.53,0
BALBc_H_17,43,645000,372810,154155,6385.5,23300.625,5580.411,40263.48,1202.409,143518.305,3129.3465,4316.34,123169.845,3006.0225,161895,1117.0755,498585,598.302,632.1,123.2595,645000,638550,35.056395,3999,129,96,28800000,16646400,6883200,285120,1040400,398537.28,2030860.8,35792.64,6408259.2,139728.96,192729.6,5499676.8,134222.4,7228800,49878.72,22262400,26714.88,28224,5503.68,28800000,28512000,1565.3088,178560,5760,4.44,0,3.85,15.646,13.11,581.76,0,4.11,0.95,1.08,13.27,96.52,0
